0[0.0976, 0.3581][2.384, 1.8126031574249268]
1[0.0976, 0.3496][2.384, 1.770301342010498]
2[0.0976, 0.3418][2.384, 1.781331245803833]
3[0.0976, 0.3637][2.384, 1.7474248809814452]
4[0.0976, 0.3315][2.384, 1.8279674533843995]
5[0.0976, 0.3413][2.384, 1.7957482582092286]
6[0.0976, 0.3569][2.384, 1.7794529527664185]
7[0.0976, 0.3518][2.384, 1.8163729793548584]
8[0.0976, 0.3408][2.384, 1.7981329326629638]
9[0.0976, 0.3445][2.384, 1.7478734497070312]
10[0.0976, 0.3621][2.384, 1.7546342288970946]
11[0.0976, 0.3684][2.384, 1.7753695766448974]
12[0.0976, 0.3625][2.384, 1.7801273168563843]
13[0.0976, 0.373][2.384, 1.741430316925049]
14[0.0976, 0.2224][2.384, 1.9787987831115723]
