0[0.0976, 0.3534][2.384, 1.8218741611480713]
1[0.0976, 0.3514][2.384, 1.7947982402801514]
2[0.0976, 0.3598][2.384, 1.8085096256256104]
3[0.0976, 0.2938][2.384, 1.8595466732025145]
4[0.0976, 0.292][2.384, 1.8356281017303466]
5[0.0976, 0.3394][2.384, 1.834451215171814]
6[0.0976, 0.3549][2.384, 1.8354627573013305]
7[0.0976, 0.3146][2.384, 1.8464270542144776]
8[0.0976, 0.3247][2.384, 1.823460581588745]
9[0.0976, 0.3436][2.384, 1.8321155870437622]
10[0.0976, 0.3643][2.384, 1.7723297325134277]
11[0.0976, 0.3263][2.384, 1.8488199714660645]
12[0.0976, 0.3173][2.384, 1.8687782955169678]
13[0.0976, 0.3425][2.384, 1.836511626815796]
14[0.0976, 0.3451][2.384, 1.7986275100708007]
15[0.0976, 0.3579][2.384, 1.8440418907165528]
16[0.0976, 0.3269][2.384, 1.8361367420196533]
17[0.0976, 0.3487][2.384, 1.7996185340881348]
18[0.0976, 0.3314][2.384, 1.754694436454773]
19[0.0976, 0.3173][2.384, 1.7888069152832031]
20[0.0976, 0.1102][2.384, 2.654590181350708]
